;Title;Average Rating;Number of ratings;Std.dev;Complexity;Number of Comments;Fans;Page Views;Overall Ranking;All Time Plays;Played This Month;Own;Previously Owned;For Trade;Want in Trade;Wishlist;Has Parts;Want Parts
0;Gloomhaven (2017);8,901;24863;1,6;3;4937;4769;8121209;1;177562;2466;40792;1264;216;1344;12154;18;7
1;Pandemic Legacy: Season 1 (2015);8,642;31084;1,61;2;4959;2247;2822351;2;178979;664;49456;3194;238;780;8483;10;5
2;Through the Ages: A New Story of Civilization (2015);8,533;15653;1,49;4;2282;1113;2235683;3;43742;386;19372;1085;250;1037;6436;6;4
3;Terraforming Mars (2016);8,403;38741;1,36;3;5856;3092;4120292;4;187454;3045;49782;1419;228;2068;12969;15;6
4;Twilight Struggle (2005);8,324;34385;1,59;3;7738;3726;4339022;5;89047;334;47302;3204;780;1342;8913;36;28
5;Star Wars: Rebellion (2016);8,447;16567;1,38;3;2681;1670;2746485;6;24705;170;25232;912;188;1350;7945;4;6
6;Gaia Project (2017);8,541;9239;1,43;4;1389;821;1345459;7;27821;461;11380;347;54;1214;6172;1;2
7;Scythe (2016);8,287;39504;1,43;3;6217;4264;5017886;8;124795;1295;51381;1703;300;1880;13293;27;10
8;Twilight Imperium (Fourth Edition) (2017);8,726;6670;1,57;4;1106;940;1310082;9;8916;162;9329;175;43;728;4857;0;1
9;Great Western Trail (2016);8,287;19186;1,25;3;2606;955;1645368;10;58428;714;23465;894;114;1626;6988;6;3
10;Terra Mystica (2012);8,195;32576;1,47;3;4992;2729;3429627;11;96764;328;35894;2629;514;1674;10653;18;12
11;War of the Ring (Second Edition) (2012);8,425;9794;1,54;4;1891;1190;1812334;12;13896;97;15872;902;162;1093;5771;13;12
12;The Castles of Burgundy (2011);8,129;36642;1,24;3;6515;1956;2416912;13;152005;951;51083;2499;570;1088;7453;17;7
13;Brass: Birmingham (2018);8,616;5543;1,18;3;1162;486;540590;14;12767;362;10315;271;26;766;3806;3;0
14;Spirit Island (2017);8,375;10930;1,46;3;2125;1165;1597794;15;44497;1007;16678;569;142;1457;8288;7;1
15;7 Wonders Duel (2015);8,123;40582;1,17;2;5752;1590;1516443;16;151099;1015;62560;1834;429;916;6023;10;9
16;The 7th Continent (2017);8,416;8908;1,61;2;2257;2774;2755437;17;26281;213;16610;655;90;1324;7920;3;1
17;Concordia (2013);8,103;19840;1,19;3;3458;920;1401052;18;66746;487;23050;1068;162;1552;6620;4;5
18;Viticulture Essential Edition (2015);8,145;17544;1,24;2;2513;882;877190;19;51016;677;23683;910;126;1402;6207;4;4
19;Puerto Rico (2002);8,037;56354;1,38;3;11200;3430;3424323;20;150036;247;65428;4905;1144;1004;8193;27;26
20;Arkham Horror: The Card Game (2016);8,223;17469;1,44;3;2830;2157;3738384;21;87664;1046;32001;1950;407;734;5498;7;3
21;Brass: Lancashire (2007);8,121;15004;1,39;3;3631;1347;1792631;22;47763;192;19577;1750;422;890;4627;18;13
22;Caverna: The Cave Farmers (2013);8,07;23638;1,35;3;3883;1598;1990136;23;50130;203;29973;1889;361;1756;9080;12;10
23;Mage Knight Board Game (2011);8,105;23475;1,62;4;4925;3540;3725726;24;54243;166;34275;3760;865;1206;9039;16;17
24;Agricola (2007);7,99;56897;1,57;3;11843;5442;4329057;25;223146;309;68300;5385;1187;1111;9151;55;48
25;Orléans (2014);8,084;15860;1,16;3;2429;732;1133691;26;45264;284;18551;1014;139;1328;5288;5;3
26;Mansions of Madness: Second Edition (2016);8,156;16560;1,44;2;2335;1452;2067756;27;40365;369;25895;1081;197;1138;7473;7;6
27;A Feast for Odin (2016);8,182;11144;1,35;3;1787;714;1276227;28;34349;368;14683;700;121;1490;6713;5;2
28;Food Chain Magnate (2015);8,183;9666;1,54;4;1843;666;1302643;29;22913;230;11831;658;107;1390;5791;5;2
29;Blood Rage (2015);8,031;25515;1,4;2;3970;1921;2281252;30;49290;301;31034;1689;246;1409;8205;11;10
30;Mechs vs. Minions (2016);8,131;11131;1,34;2;1784;754;1460832;31;39735;166;16659;884;211;973;5727;6;3
31;Pandemic Legacy: Season 2 (2017);8,256;7182;1,75;3;1234;402;761146;32;62894;584;15469;867;77;329;3316;3;2
32;Kingdom Death: Monster (2015);8,803;5849;1,93;4;1431;2213;3657657;33;22297;186;8202;257;44;611;4153;11;10
33;Star Wars: Imperial Assault (2014);8,078;16559;1,42;3;2580;2407;2844512;34;61547;332;28492;1732;434;869;5506;12;15
34;Power Grid (Recharged Version) (2004);7,891;49875;1,34;3;9499;2734;2826821;35;118601;238;57849;3873;823;1326;8925;23;34
35;Through the Ages: A Story of Civilization (2006);7,99;16871;1,68;4;3874;1455;2416007;36;66283;38;16713;3474;863;665;4183;16;11
36;Azul (2017);7,932;27837;1,13;1;3781;1114;1318476;37;175698;2565;40584;733;168;1190;7102;8;6
37;Tzolk'in: The Mayan Calendar (2012);7,927;24445;1,26;3;3802;1198;1353536;38;66386;289;28155;1770;223;1423;6520;10;6
38;Eclipse (2011);7,944;23961;1,49;3;4444;2735;3093829;39;46710;58;25269;2622;616;1044;6970;17;20
39;Le Havre (2008);7,891;23069;1,43;3;4675;1386;1793007;40;59866;163;25459;2450;330;1566;7144;25;10
40;Robinson Crusoe: Adventures on the Cursed Island (2012);7,908;26787;1,4;3;4591;2614;2999323;41;66423;336;40770;3525;811;1471;9584;17;5
41;The Voyages of Marco Polo (2015);7,943;15405;1,26;3;2260;721;1008845;42;50696;307;18024;1135;154;1099;4210;10;7
42;Clans of Caledonia (2017);8,061;8937;1,17;3;1493;621;860827;43;24467;267;11773;614;124;836;3802;3;4
43;Android: Netrunner (2012);7,897;24294;1,65;3;5038;3748;4122992;44;291063;391;38028;4684;1429;535;4103;27;25
44;7 Wonders (2010);7,782;68807;1,28;2;11777;4809;3232297;45;350713;1155;90558;4597;1152;1029;9440;28;24
45;Keyflower (2012);7,853;15912;1,3;3;2891;731;1157165;46;39245;124;19089;1618;258;1191;5088;12;9
46;Anachrony (2017);8,137;7080;1,37;3;1428;2103;910536;47;14599;386;10382;542;85;816;4026;1;1
47;Race for the Galaxy (2007);7,761;40539;1,49;2;8740;3035;2725111;48;438023;1171;48785;4642;1016;975;7095;13;16
48;Caylus (2005);7,812;24642;1,48;3;5845;1088;1821431;49;56987;77;25005;2786;484;953;5087;15;11
49;Dominant Species (2010);7,852;15688;1,51;4;3577;1115;1439165;50;25978;97;16700;1773;332;1245;5930;15;5
50;Fields of Arle (2014);8,135;5744;1,27;3;1170;363;670259;51;16582;87;9094;795;132;953;3648;9;4
51;Lords of Waterdeep (2012);7,767;38508;1,27;2;6638;2801;1778684;52;119709;392;47084;2806;495;1148;7758;13;20
52;Root (2018);8,097;7287;1,46;3;1587;1095;1424680;53;21314;714;12210;405;69;1337;7363;2;1
53;Rising Sun (2018);8,007;10569;1,61;3;2010;1202;1842740;54;17868;156;15405;684;162;615;4228;4;6
54;Twilight Imperium (Third Edition) (2005);7,871;17225;1,7;4;4187;2071;2360619;55;23686;8;19197;2281;643;734;4819;13;35
55;Five Tribes (2014);7,778;25663;1,27;2;3971;1098;1168338;56;68662;332;33160;1755;327;1251;7235;11;15
56;Wingspan (2019);8,113;6461;1,35;2;1117;822;613215;57;31550;3095;8355;161;33;1217;5969;3;3
57;Eldritch Horror (2013);7,86;23610;1,5;3;3848;2922;2606973;58;58654;250;34812;2269;540;763;6559;9;12
58;El Grande (1995);7,776;21211;1,34;3;4947;701;1305627;59;36947;80;20339;2089;363;1278;4790;12;11
59;Codenames (2015);7,714;50821;1,28;1;7060;1265;1803728;60;367970;1239;80171;2072;745;343;4358;10;5
60;Clank!: A Deck-Building Adventure (2016);7,817;17071;1,19;2;2539;925;1224507;61;56121;636;22561;1023;233;1098;6028;4;4
61;Dominion: Intrigue (2009);7,741;27048;1,36;2;3853;1008;959478;62;94128;88;38848;2905;568;434;2755;18;12
62;Patchwork (2014);7,715;33436;1,12;1;4556;880;963111;63;147321;947;48744;1730;335;773;4732;5;6
63;The Gallerist (2015);8,013;6775;1,38;4;1312;550;692759;64;15321;150;9430;709;105;1032;3910;1;2
64;Mombasa (2015);7,921;8563;1,23;3;1316;325;622485;65;17527;141;10767;785;142;733;2873;9;1
65;Battlestar Galactica: The Board Game (2008);7,741;29794;1,57;3;6228;3019;2133225;66;68527;105;32776;3326;732;710;5274;12;25
66;Roll for the Galaxy (2014);7,731;21385;1,32;2;3373;944;1233260;67;99288;470;26750;1817;378;1235;6212;11;6
67;Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases (1981);7,801;13485;1,41;2;2727;733;1306390;68;23591;102;26483;2177;532;866;5398;11;8
68;Troyes (2010);7,763;15094;1,34;3;2989;833;1120279;69;41230;164;16346;1770;198;1148;4377;11;9
69;T.I.M.E Stories (2015);7,761;18969;1,67;2;2930;1244;1800422;70;45369;257;28556;2186;496;864;6204;5;5
70;Russian Railroads (2013);7,791;12129;1,28;3;1961;472;707280;71;37936;132;12952;1193;142;879;3228;7;4
71;Tigris & Euphrates (1997);7,706;23106;1,49;3;6116;882;1683108;72;52955;112;25697;2975;575;1148;5170;17;15
72;Trajan (2011);7,782;12550;1,36;3;2389;734;909643;73;33807;125;14625;1560;240;953;3836;8;4
73;Star Wars: X-Wing Miniatures Game (2012);7,762;20743;1,43;2;3523;3265;2985712;74;96272;132;34638;2844;694;307;2127;20;17
74;Pandemic (2008);7,639;83054;1,32;2;14075;5651;3272397;75;288848;853;122343;6884;1970;621;7630;51;30
75;Dominion (2008);7,646;68078;1,43;2;12150;5932;3752643;76;604346;937;88422;6789;1807;570;6672;39;26
76;Dead of Winter: A Crossroads Game (2014);7,681;32730;1,41;3;4746;2631;2172281;77;59154;132;44367;3214;912;897;7684;16;8
77;Lisboa (2017);8,198;4088;1,4;4;937;449;578133;78;10019;190;6903;283;63;649;2663;0;3
78;Crokinole (1876);7,786;9424;1,66;1;2292;414;774311;79;102431;277;7006;293;45;618;3197;6;6
79;Kemet (2012);7,751;13162;1,33;2;2279;723;1117938;80;21912;87;15541;1443;180;1377;6126;6;6
80;Pandemic: Iberia (2016);7,987;6101;1,17;2;1062;253;371519;81;15408;105;11804;479;153;313;1737;0;3
81;Descent: Journeys in the Dark (Second Edition) (2012);7,732;19330;1,46;3;3304;2829;3105623;82;54691;195;30589;3143;704;745;5624;14;17
82;Agricola (Revised Edition) (2016);8,128;4696;1,48;3;697;257;335001;83;9955;133;6810;331;78;242;1170;4;2
83;Forbidden Stars (2015);7,987;6034;1,43;3;1166;695;926463;84;9090;47;10191;715;241;582;2705;2;5
84;Stone Age (2008);7,599;38142;1,24;2;6975;1770;1791245;85;140130;422;40878;3117;447;1585;8510;10;13
85;Raiders of the North Sea (2015);7,82;8603;1,16;2;1453;746;651382;86;25568;371;12612;545;73;835;3355;5;0
86;Alchemists (2014);7,7;14638;1,4;3;2311;749;913660;87;27228;114;18985;1694;349;619;3906;6;5
87;Yokohama (2016);7,916;5891;1,12;3;1185;255;499365;88;15317;128;8832;507;97;571;1983;3;3
88;Aeon's End (2016);8,064;5152;1,35;2;1130;875;671274;89;23666;372;8471;500;116;463;2691;1;2
89;Star Realms (2014);7,609;28333;1,27;1;4677;1610;1171459;90;249908;1295;41798;2056;571;322;2942;22;12
90;Legendary Encounters: An Alien Deck Building Game (2014);7,798;9209;1,35;2;1671;910;859204;91;31816;132;13263;1117;277;543;3042;4;4
91;War of the Ring (First Edition) (2004);7,776;9468;1,64;3;2897;743;1949248;92;12984;5;12106;1720;395;421;1936;21;30
92;Champions of Midgard (2015);7,795;8796;1,22;2;1711;495;650063;93;20061;184;13189;718;105;847;3988;4;3
93;Castles of Mad King Ludwig (2014);7,622;18812;1,21;2;3204;741;962837;94;59489;220;24296;1861;417;1074;5430;7;3
94;Istanbul (2014);7,611;19887;1,13;2;3010;649;839818;95;63049;371;24790;1761;329;866;4105;6;1
95;A Game of Thrones: The Board Game (Second Edition) (2011);7,662;24005;1,51;3;3563;2339;1990529;96;26259;128;31609;2389;696;610;4753;11;10
96;Santorini (2016);7,646;17431;1,3;1;2946;740;1062009;97;102783;899;29014;1309;369;729;5330;8;4
97;The Resistance: Avalon (2012);7,625;22522;1,51;1;3417;926;1181392;98;100215;338;31529;1802;537;277;3038;12;8
98;Grand Austria Hotel (2015);7,779;8356;1,27;3;1492;313;498440;99;27555;257;10222;794;125;805;2728;10;5
99;Architects of the West Kingdom (2018);7,944;5698;1,2;2;1070;511;498080;100;18565;733;9177;255;56;743;3593;4;1
